epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,52.478,0.78401,0.74917,0.91343,0.98807,0.9902,0.99422,0.8435,0.62142,0.59934,0.8303,0.0011882,0.0011882,0.0011882
43,53.6503,0.73772,0.72223,0.92077,0.99951,0.9902,0.995,0.8536,0.59429,0.52726,0.82301,0.0011684,0.0011684,0.0011684
44,54.8062,0.75948,0.75467,0.89972,0.99928,0.9902,0.995,0.86765,0.59102,0.4975,0.82052,0.0011486,0.0011486,0.0011486
45,55.9557,0.69687,0.71201,0.91618,0.99911,0.9902,0.995,0.85975,0.57821,0.49048,0.82268,0.0011288,0.0011288,0.0011288
46,57.1007,0.70578,0.66732,0.87723,0.99902,0.9902,0.995,0.86699,0.52629,0.45319,0.82004,0.001109,0.001109,0.001109
47,58.2544,0.74442,0.6554,0.90306,0.99909,0.9902,0.995,0.8451,0.63575,0.49302,0.82829,0.0010892,0.0010892,0.0010892
48,59.3934,0.75479,0.65175,0.90425,0.9984,0.9902,0.995,0.86506,0.56485,0.4583,0.82007,0.0010694,0.0010694,0.0010694
49,60.5293,0.73432,0.67411,0.89457,0.99874,0.9902,0.995,0.86747,0.53774,0.44136,0.80637,0.0010496,0.0010496,0.0010496
50,61.6701,0.68843,0.65703,0.90822,0.99923,0.9902,0.995,0.88538,0.52196,0.43907,0.80386,0.0010298,0.0010298,0.0010298
51,62.9489,0.70884,0.67432,0.93535,0.99928,0.9902,0.995,0.87349,0.54209,0.44722,0.80782,0.00101,0.00101,0.00101
52,64.0915,0.67824,0.6309,0.88874,0.99935,0.9902,0.995,0.904,0.44614,0.41341,0.78801,0.0009902,0.0009902,0.0009902
53,65.2441,0.58433,0.57834,0.87116,0.99935,0.9902,0.995,0.91423,0.43268,0.40445,0.78972,0.0009704,0.0009704,0.0009704
54,66.4088,0.63037,0.59813,0.88766,0.99934,0.9902,0.995,0.9048,0.44125,0.38891,0.7931,0.0009506,0.0009506,0.0009506
55,67.5654,0.6171,0.58658,0.87034,0.99909,0.9902,0.995,0.90097,0.46591,0.38522,0.7926,0.0009308,0.0009308,0.0009308
56,68.724,0.64702,0.59872,0.85724,0.99906,0.9902,0.995,0.8922,0.4996,0.41539,0.79743,0.000911,0.000911,0.000911
57,69.8698,0.59757,0.58713,0.85637,0.99832,0.9902,0.995,0.89733,0.48355,0.40625,0.79571,0.0008912,0.0008912,0.0008912
58,71.0375,0.65319,0.64558,0.88731,0.99915,0.9902,0.995,0.89415,0.49532,0.40772,0.79892,0.0008714,0.0008714,0.0008714
59,72.1944,0.63371,0.60365,0.87042,0.99927,0.9902,0.995,0.89883,0.50415,0.42018,0.79884,0.0008516,0.0008516,0.0008516
60,73.3464,0.72742,0.63261,0.94495,0.99928,0.9902,0.995,0.89973,0.5031,0.41609,0.79941,0.0008318,0.0008318,0.0008318
61,74.4943,0.70905,0.61985,0.93377,0.9992,0.9902,0.995,0.90355,0.48149,0.41956,0.79384,0.000812,0.000812,0.000812
62,75.6716,0.65575,0.60209,0.90486,0.99893,0.9902,0.995,0.87956,0.5019,0.41797,0.79807,0.0007922,0.0007922,0.0007922
63,76.957,0.67032,0.59351,0.89244,0.99915,0.9902,0.995,0.88974,0.49445,0.40434,0.79639,0.0007724,0.0007724,0.0007724
64,78.1275,0.67302,0.57398,0.88925,0.99925,0.9902,0.995,0.89707,0.49293,0.405,0.79509,0.0007526,0.0007526,0.0007526
65,79.2711,0.6654,0.58197,0.88101,0.99906,0.9902,0.995,0.89841,0.47555,0.39434,0.79243,0.0007328,0.0007328,0.0007328
66,80.4278,0.58881,0.56592,0.89938,0.99952,0.9902,0.995,0.89615,0.48572,0.38669,0.7895,0.000713,0.000713,0.000713
67,81.5844,0.58766,0.57365,0.88162,0.9991,0.9902,0.995,0.91384,0.45595,0.37477,0.78619,0.0006932,0.0006932,0.0006932
68,82.7507,0.59493,0.52995,0.84663,0.9994,0.9902,0.995,0.89367,0.48053,0.37327,0.79622,0.0006734,0.0006734,0.0006734
69,83.9179,0.63957,0.57505,0.87162,0.99941,0.9902,0.995,0.89423,0.50359,0.38306,0.7986,0.0006536,0.0006536,0.0006536
70,85.069,0.59383,0.53803,0.86281,0.99938,0.9902,0.995,0.91978,0.44841,0.36,0.78936,0.0006338,0.0006338,0.0006338
71,86.3792,0.55537,0.5349,0.89739,0.99933,0.9902,0.995,0.91012,0.44939,0.36487,0.78802,0.000614,0.000614,0.000614
72,87.5098,0.56667,0.54584,0.88559,0.99935,0.9902,0.995,0.9112,0.47067,0.38013,0.7923,0.0005942,0.0005942,0.0005942
73,88.635,0.60661,0.54449,0.90676,0.99935,0.9902,0.995,0.91861,0.45772,0.37276,0.78977,0.0005744,0.0005744,0.0005744
74,89.8029,0.59119,0.55048,0.8773,0.9994,0.9902,0.995,0.92227,0.3935,0.35359,0.78128,0.0005546,0.0005546,0.0005546
75,90.9571,0.52531,0.50414,0.85519,0.9994,0.9902,0.995,0.9174,0.41877,0.35909,0.77995,0.0005348,0.0005348,0.0005348
76,92.1266,0.56785,0.54592,0.87413,0.99935,0.9902,0.995,0.93155,0.40508,0.3552,0.7785,0.000515,0.000515,0.000515
77,93.2597,0.57973,0.54917,0.89659,0.99937,0.9902,0.995,0.93184,0.40518,0.356,0.78064,0.0004952,0.0004952,0.0004952
78,94.4114,0.53494,0.49688,0.88006,0.99939,0.9902,0.995,0.92999,0.37784,0.34872,0.77736,0.0004754,0.0004754,0.0004754
79,95.5316,0.54498,0.50243,0.83972,0.9994,0.9902,0.995,0.92327,0.38054,0.33642,0.77832,0.0004556,0.0004556,0.0004556
80,96.7691,0.53708,0.50629,0.88372,0.9994,0.9902,0.995,0.93244,0.37642,0.33838,0.77727,0.0004358,0.0004358,0.0004358
81,97.8999,0.51257,0.48432,0.85109,0.99938,0.9902,0.995,0.9268,0.37943,0.33606,0.77875,0.000416,0.000416,0.000416
82,99.0385,0.52472,0.47733,0.8576,0.99938,0.9902,0.995,0.93912,0.39584,0.33071,0.77929,0.0003962,0.0003962,0.0003962
83,100.194,0.439,0.44728,0.83886,0.9994,0.9902,0.995,0.94722,0.3738,0.33152,0.77253,0.0003764,0.0003764,0.0003764
84,101.339,0.51514,0.48352,0.85663,0.99939,0.9902,0.995,0.93933,0.3702,0.33715,0.77196,0.0003566,0.0003566,0.0003566
85,102.453,0.5472,0.49185,0.8545,0.99938,0.9902,0.995,0.93172,0.36658,0.32751,0.77298,0.0003368,0.0003368,0.0003368
86,103.595,0.50019,0.46762,0.86565,0.99936,0.9902,0.995,0.9435,0.36549,0.32538,0.77054,0.000317,0.000317,0.000317
87,104.732,0.47899,0.4568,0.82245,0.99938,0.9902,0.995,0.9436,0.37117,0.32471,0.7674,0.0002972,0.0002972,0.0002972
88,105.859,0.51675,0.48349,0.86722,0.9994,0.9902,0.995,0.9592,0.34509,0.31998,0.76465,0.0002774,0.0002774,0.0002774
89,107.019,0.47899,0.4677,0.84849,0.9994,0.9902,0.995,0.95826,0.3414,0.31808,0.76523,0.0002576,0.0002576,0.0002576
90,108.16,0.48933,0.47214,0.8447,0.99938,0.9902,0.995,0.9504,0.34567,0.32033,0.76776,0.0002378,0.0002378,0.0002378
91,110.407,0.37299,0.40158,0.81112,0.99938,0.9902,0.995,0.9561,0.3545,0.3176,0.76848,0.000218,0.000218,0.000218
92,111.542,0.41338,0.41223,0.83624,0.99938,0.9902,0.995,0.95758,0.34995,0.31593,0.76777,0.0001982,0.0001982,0.0001982
93,112.654,0.38245,0.39628,0.80655,0.99938,0.9902,0.995,0.96165,0.34363,0.31414,0.76753,0.0001784,0.0001784,0.0001784
94,113.8,0.39877,0.39771,0.86028,0.99937,0.9902,0.995,0.96996,0.32155,0.31656,0.76573,0.0001586,0.0001586,0.0001586
95,114.928,0.40952,0.40088,0.82337,0.99937,0.9902,0.995,0.96622,0.3158,0.31151,0.76529,0.0001388,0.0001388,0.0001388
96,116.044,0.40212,0.41757,0.84992,0.99938,0.9902,0.995,0.96436,0.31748,0.30892,0.76558,0.000119,0.000119,0.000119
97,117.156,0.38108,0.38783,0.79486,0.99937,0.9902,0.995,0.97092,0.31693,0.30733,0.76451,9.92e-05,9.92e-05,9.92e-05
98,118.305,0.35062,0.3822,0.8345,0.99937,0.9902,0.995,0.96919,0.31505,0.30991,0.76507,7.94e-05,7.94e-05,7.94e-05
99,119.578,0.36707,0.38504,0.80994,0.99937,0.9902,0.995,0.96923,0.31588,0.3058,0.7652,5.96e-05,5.96e-05,5.96e-05
100,120.699,0.36513,0.38578,0.80989,0.99938,0.9902,0.995,0.96905,0.31874,0.30552,0.76379,3.98e-05,3.98e-05,3.98e-05
